Doulist, Page, NO., ID, Title 
919697, 4, 76, 1316833, 养猪秘诀 
919697, 4, 77, 1266385, 养猪 
919697, 4, 78, 3100277, 规模化养猪大讲堂 
919697, 4, 79, 1963786, 怎样鉴别黄色歌曲 
919697, 4, 80, 2070186, 打飞机英雄集 
919697, 4, 81, 1950180, 挑逗乳房全技巧 
919697, 4, 82, 1785162, 隂性皮膜性快感 
919697, 4, 83, 3133917, 男人不屌女人不High 
919697, 4, 84, 1794803, 做愛時的眼神 
919697, 4, 85, 1958923, 簡易靈魂出體法 
919697, 4, 86, 2382489, 放屁, 是有學問的 
919697, 4, 87, 1012261, 我爱中国共产党 
919697, 4, 88, 3080102, 永远跟着共产党 
919697, 4, 89, 1929832, 农民进城赚钱秘诀 
919697, 4, 90, 1519245, 怎样坐月子 
919697, 4, 91, 3685442, 中国为什么不高兴 
919697, 4, 92, 3796887, 中国谁在不高兴 
919697, 4, 93, 4118804, 中国凭什么不高兴 
919697, 4, 94, 3740355, 中国很高兴 
919697, 4, 95, 2146671, 怎样一眼把人看透 
919697, 4, 96, 2022791, 怎样嫁个好老公 
919697, 4, 97, 3037334, 怎样打算盘 
919697, 4, 98, 2121685, 党的知识幼儿读本 
919697, 4, 99, 2016284, 爷爷率红军走过 
919697, 4, 100, 2337938, 人民公敌蒋介石 
919697, 7, 151, 4749580, 实用护身技击术 
919697, 7, 152, 4749586, 肘法腿法大集成 
919697, 7, 153, 1005557, 鲈鱼、鲈鱼养殖实用技术 
919697, 7, 154, 1843422, 叫我如何不宰你 
919697, 7, 155, 1033089, 打女佣的屁股 
919697, 7, 156, 3896758, 参谋助手论 
919697, 7, 157, 2998899, 万峰 
919697, 7, 158, 4246508, 山木方法 
919697, 7, 159, 1267485, 怎样办好一个七彩山鸡场 
919697, 7, 160, 1450734, 同学，咱们聊一聊青少年赌博 
919697, 7, 161, 3724987, 如何謀殺妳的丈夫 
919697, 7, 162, 1013757, 三角裤超人挫败屁屁裤教授的阴谋（漫画版） 
919697, 7, 163, 3032373, 阴阳吸壁功 
919697, 7, 164, 2268780, 屁眼文化 
919697, 7, 165, 5247864, 只有社会主义才能救美国 
919697, 7, 166, 1885140, 怎样立地成佛 
919697, 7, 167, 3577344, 哈利波特与黄金甲 
